algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,cutoff,correct
naive,16,densa,D0,a,1,200,0.001283,2048,5033984,64,1
naive,16,densa,D0,a,2,200,0.0012965,2048,5033984,64,1
naive,16,densa,D0,a,3,200,0.0012735,2048,5033984,64,1
naive,16,densa,D0,a,4,200,0.001292,2048,5033984,64,1
naive,16,densa,D0,a,5,200,0.0012725,2048,5033984,64,1
naive,16,densa,D0,a,6,200,0.0012735,2048,5033984,64,1
naive,16,densa,D0,a,7,200,0.0012705,2048,5033984,64,1
naive,16,densa,D0,a,8,200,0.001272,2048,5033984,64,1
naive,16,densa,D0,a,9,200,0.0014625,2048,5033984,64,1
naive,16,densa,D0,a,10,200,0.001584,2048,5033984,64,1
naive,16,densa,D0,a,11,200,0.001318,2048,5033984,64,1
naive,16,densa,D0,a,12,200,0.001232,2048,5033984,64,1
naive,16,densa,D0,a,13,200,0.001255,2048,5033984,64,1
naive,16,densa,D0,a,14,200,0.001242,2048,5033984,64,1
naive,16,densa,D0,a,15,200,0.001243,2048,5033984,64,1
strassen,16,densa,D0,a,1,200,0.001251,2048,5128192,64,1
strassen,16,densa,D0,a,2,200,0.00127,2048,5128192,64,1
strassen,16,densa,D0,a,3,200,0.001267,2048,5128192,64,1
strassen,16,densa,D0,a,4,200,0.0012785,2048,5128192,64,1
strassen,16,densa,D0,a,5,200,0.0015115,2048,5128192,64,1
strassen,16,densa,D0,a,6,200,0.0018065,2048,5128192,64,1
strassen,16,densa,D0,a,7,200,0.0017175,2048,5128192,64,1
strassen,16,densa,D0,a,8,200,0.0017375,2048,5128192,64,1
strassen,16,densa,D0,a,9,200,0.0017625,2048,5128192,64,1
strassen,16,densa,D0,a,10,200,0.00175,2048,5128192,64,1
strassen,16,densa,D0,a,11,200,0.0016995,2048,5128192,64,1
strassen,16,densa,D0,a,12,200,0.001733,2048,5128192,64,1
strassen,16,densa,D0,a,13,200,0.0017655,2048,5128192,64,1
strassen,16,densa,D0,a,14,200,0.0015285,2048,5128192,64,1
strassen,16,densa,D0,a,15,200,0.0012625,2048,5128192,64,1
naive,16,densa,D0,b,1,200,0.001239,2048,5132288,64,1
