algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,cutoff,correct
naive,250,densa,D10,a,1,3,5.05813,500000,7110656,64,1
naive,250,densa,D10,a,2,3,5.04663,500000,7110656,64,1
naive,250,densa,D10,a,3,3,5.05667,500000,7110656,64,1
strassen,250,densa,D10,a,1,3,6.75097,3047424,9588736,64,1
strassen,250,densa,D10,a,2,3,6.731,3047424,9588736,64,1
strassen,250,densa,D10,a,3,3,6.6902,3047424,9588736,64,1
naive,256,densa,D10,a,1,3,16.6236,524288,10104832,64,1
naive,256,densa,D10,a,2,3,16.6765,524288,10104832,64,1
naive,256,densa,D10,a,3,3,16.6574,524288,10104832,64,1
strassen,256,densa,D10,a,1,3,6.54013,1998848,10104832,64,1
strassen,256,densa,D10,a,2,3,6.61473,1998848,10104832,64,1
strassen,256,densa,D10,a,3,3,6.47893,1998848,10104832,64,1
naive,260,densa,D10,a,1,3,5.52637,540800,10104832,64,1
naive,260,densa,D10,a,2,3,5.5325,540800,10104832,64,1
naive,260,densa,D10,a,3,3,5.53627,540800,10104832,64,1
strassen,260,densa,D10,a,1,3,52.3773,12484608,19181568,64,1
strassen,260,densa,D10,a,2,3,52.1901,12484608,19181568,64,1
strassen,260,densa,D10,a,3,3,52.0762,12484608,19181568,64,1
naive,500,densa,D10,a,1,3,58.6583,2000000,19722240,64,1
naive,500,densa,D10,a,2,3,58.638,2000000,19722240,64,1
naive,500,densa,D10,a,3,3,58.6662,2000000,19722240,64,1
strassen,500,densa,D10,a,1,3,51.2458,12484608,24854528,64,1
strassen,500,densa,D10,a,2,3,51.5367,12484608,24854528,64,1
strassen,500,densa,D10,a,3,3,51.2407,12484608,24854528,64,1
naive,512,densa,D10,a,1,3,362.056,2097152,26857472,64,1
naive,512,densa,D10,a,2,3,363.058,2097152,26857472,64,1
naive,512,densa,D10,a,3,3,363.077,2097152,26857472,64,1
strassen,512,densa,D10,a,1,3,50.0487,8290304,26857472,64,1
strassen,512,densa,D10,a,2,3,49.763,8290304,26857472,64,1
strassen,512,densa,D10,a,3,3,50.1142,8290304,26857472,64,1
naive,520,densa,D10,a,1,1,69.4784,2163200,26857472,64,1
naive,520,densa,D10,a,2,1,69.6763,2163200,26857472,64,1
naive,520,densa,D10,a,3,1,69.3968,2163200,26857472,64,1
strassen,520,densa,D10,a,1,1,363.562,50233344,62349312,64,1
strassen,520,densa,D10,a,2,1,366.68,50233344,62349312,64,1
strassen,520,densa,D10,a,3,1,363.189,50233344,62349312,64,1
naive,1000,densa,D10,a,1,1,495.457,8000000,62349312,64,1
naive,1000,densa,D10,a,2,1,497.204,8000000,62349312,64,1
naive,1000,densa,D10,a,3,1,497.461,8000000,62349312,64,1
strassen,1000,densa,D10,a,1,1,360.844,50233344,79319040,64,1
strassen,1000,densa,D10,a,2,1,361.516,50233344,79319040,64,1
strassen,1000,densa,D10,a,3,1,363.775,50233344,79319040,64,1
naive,1024,densa,D10,a,1,1,3173,8388608,79319040,64,1
naive,1024,densa,D10,a,2,1,3173.55,8388608,79319040,64,1
naive,1024,densa,D10,a,3,1,3181.73,8388608,79319040,64,1
strassen,1024,densa,D10,a,1,1,358.612,33456128,79319040,64,1
strassen,1024,densa,D10,a,2,1,357.615,33456128,79319040,64,1
strassen,1024,densa,D10,a,3,1,355.035,33456128,79319040,64,1
naive,1040,densa,D10,a,1,1,536.82,8652800,79319040,64,1
naive,1040,densa,D10,a,2,1,533.019,8652800,79319040,64,1
naive,1040,densa,D10,a,3,1,533.032,8652800,79319040,64,1
strassen,1040,densa,D10,a,1,1,2533.22,201228288,232255488,64,1
strassen,1040,densa,D10,a,2,1,2536.01,201228288,232255488,64,1
strassen,1040,densa,D10,a,3,1,2525.82,201228288,232255488,64,1
