algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,cutoff,correct
naive,1024,densa,D10,a,1,1,3278.7,8388608,38461440,64,1
naive,1024,densa,D10,a,2,1,3328.22,8388608,38461440,64,1
naive,1024,densa,D10,a,3,1,3236.85,8388608,38461440,64,1
strassen,1024,densa,D10,a,1,1,350.071,33456128,63619072,64,1
strassen,1024,densa,D10,a,2,1,348.244,33456128,63619072,64,1
strassen,1024,densa,D10,a,3,1,349.737,33456128,63619072,64,1
naive,1024,diagonal,D10,a,1,1,3359.36,8388608,38473728,64,1
naive,1024,diagonal,D10,a,2,1,3407.51,8388608,38473728,64,1
naive,1024,diagonal,D10,a,3,1,3265.18,8388608,38473728,64,1
strassen,1024,diagonal,D10,a,1,1,374.512,33456128,63631360,64,1
strassen,1024,diagonal,D10,a,2,1,361.623,33456128,63631360,64,1
strassen,1024,diagonal,D10,a,3,1,357.259,33456128,63631360,64,1
naive,1024,dispersa,D10,a,1,1,3152.4,8388608,38477824,64,1
naive,1024,dispersa,D10,a,2,1,3168.2,8388608,38477824,64,1
naive,1024,dispersa,D10,a,3,1,3186.78,8388608,38477824,64,1
strassen,1024,dispersa,D10,a,1,1,351.088,33456128,63635456,64,1
strassen,1024,dispersa,D10,a,2,1,358.048,33456128,63635456,64,1
strassen,1024,dispersa,D10,a,3,1,361.482,33456128,63635456,64,1
