algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,cutoff,correct
naive,16,densa,D0,a,1,200,0.001323,2048,4972544,1,1
naive,16,densa,D0,a,2,200,0.0012935,2048,4972544,1,1
naive,16,densa,D0,a,3,200,0.0012995,2048,4972544,1,1
naive,16,densa,D0,a,4,200,0.0012935,2048,4972544,1,1
naive,16,densa,D0,a,5,200,0.001286,2048,4972544,1,1
naive,16,densa,D0,a,6,200,0.0013075,2048,4972544,1,1
naive,16,densa,D0,a,7,200,0.001291,2048,4972544,1,1
naive,16,densa,D0,a,8,200,0.001293,2048,4972544,1,1
naive,16,densa,D0,a,9,200,0.001275,2048,4972544,1,1
naive,16,densa,D0,a,10,200,0.001272,2048,4972544,1,1
naive,16,densa,D0,a,11,200,0.001302,2048,4972544,1,1
naive,16,densa,D0,a,12,200,0.0012515,2048,4972544,1,1
naive,16,densa,D0,a,13,200,0.0012575,2048,4972544,1,1
naive,16,densa,D0,a,14,200,0.0012655,2048,4972544,1,1
naive,16,densa,D0,a,15,200,0.001309,2048,4972544,1,1
strassen,16,densa,D0,a,1,200,0.0265645,8168,5095424,1,1
strassen,16,densa,D0,a,2,200,0.025998,8168,5095424,1,1
strassen,16,densa,D0,a,3,200,0.0258795,8168,5095424,1,1
strassen,16,densa,D0,a,4,200,0.025955,8168,5095424,1,1
strassen,16,densa,D0,a,5,200,0.02593,8168,5095424,1,1
strassen,16,densa,D0,a,6,200,0.025847,8168,5095424,1,1
strassen,16,densa,D0,a,7,200,0.025802,8168,5095424,1,1
strassen,16,densa,D0,a,8,200,0.025746,8168,5095424,1,1
strassen,16,densa,D0,a,9,200,0.025778,8168,5095424,1,1
strassen,16,densa,D0,a,10,200,0.0261585,8168,5095424,1,1
strassen,16,densa,D0,a,11,200,0.0259265,8168,5095424,1,1
strassen,16,densa,D0,a,12,200,0.025767,8168,5095424,1,1
strassen,16,densa,D0,a,13,200,0.0291485,8168,5095424,1,1
strassen,16,densa,D0,a,14,200,0.025868,8168,5095424,1,1
strassen,16,densa,D0,a,15,200,0.027071,8168,5095424,1,1
naive,16,densa,D0,b,1,200,0.001401,2048,5169152,1,1
naive,16,densa,D0,b,2,200,0.001263,2048,5169152,1,1
naive,16,densa,D0,b,3,200,0.0013975,2048,5169152,1,1
naive,16,densa,D0,b,4,200,0.001269,2048,5169152,1,1
naive,16,densa,D0,b,5,200,0.001287,2048,5169152,1,1
