algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,correct
std_sort,10,aleatorio,D1,a,1,2000,4.005e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,2,2000,4e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,3,2000,3.97e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,4,2000,4.04e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,5,2000,3.98e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,6,2000,3.97e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,7,2000,3.975e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,8,2000,3.965e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,9,2000,4.09e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,10,2000,3.975e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,11,2000,3.985e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,12,2000,3.955e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,13,2000,3.975e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,14,2000,3.97e-05,40,5009408,1
std_sort,10,aleatorio,D1,a,15,2000,3.945e-05,40,5009408,1
merge_sort,10,aleatorio,D1,a,1,2000,8.955e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,2,2000,8.96e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,3,2000,8.985e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,4,2000,8.89e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,5,2000,8.91e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,6,2000,8.91e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,7,2000,8.94e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,8,2000,9.11e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,9,2000,8.965e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,10,2000,9.23e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,11,2000,8.93e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,12,2000,0.00010205,80,5275648,1
merge_sort,10,aleatorio,D1,a,13,2000,8.965e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,14,2000,8.995e-05,80,5275648,1
merge_sort,10,aleatorio,D1,a,15,2000,0.00010015,80,5275648,1
quick_sort,10,aleatorio,D1,a,1,2000,6.51e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,2,2000,6.405e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,3,2000,6.425e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,4,2000,6.96e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,5,2000,6.43e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,6,2000,6.525e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,7,2000,6.39e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,8,2000,6.51e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,9,2000,6.37e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,10,2000,6.415e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,11,2000,6.385e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,12,2000,6.425e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,13,2000,6.395e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,14,2000,6.405e-05,40,5275648,1
quick_sort,10,aleatorio,D1,a,15,2000,6.41e-05,40,5275648,1
patience_sort,10,aleatorio,D1,a,1,2000,0.00022585,360,5275648,1
patience_sort,10,aleatorio,D1,a,2,2000,0.0001713,360,5275648,1
patience_sort,10,aleatorio,D1,a,3,2000,0.00017085,360,5275648,1
patience_sort,10,aleatorio,D1,a,4,2000,0.00016875,360,5275648,1
patience_sort,10,aleatorio,D1,a,5,2000,0.00017305,360,5275648,1
patience_sort,10,aleatorio,D1,a,6,2000,0.00016805,360,5275648,1
patience_sort,10,aleatorio,D1,a,7,2000,0.0001728,360,5275648,1
patience_sort,10,aleatorio,D1,a,8,2000,0.00016855,360,5275648,1
patience_sort,10,aleatorio,D1,a,9,2000,0.00016905,360,5275648,1
patience_sort,10,aleatorio,D1,a,10,2000,0.0001696,360,5275648,1
patience_sort,10,aleatorio,D1,a,11,2000,0.00017315,360,5275648,1
patience_sort,10,aleatorio,D1,a,12,2000,0.0001686,360,5275648,1
patience_sort,10,aleatorio,D1,a,13,2000,0.0001709,360,5275648,1
patience_sort,10,aleatorio,D1,a,14,2000,0.0001696,360,5275648,1
patience_sort,10,aleatorio,D1,a,15,2000,0.0001702,360,5275648,1
std_sort,10,aleatorio,D1,b,1,2000,3.795e-05,40,5275648,1
std_sort,10,aleatorio,D1,b,2,2000,4.54e-05,40,5275648,1
